image,dullness,whiteness,average_pixel_width,image_size,temp_size,width,height
0008c5398-1.jpg,0.0,0.0,7.1533203125,23966,"(349, 479)",349,479
0008c5398-2.jpg,87.82,0.0,9.1796875,19326,"(360, 480)",360,480
0008c5398-3.jpg,4.885,0.0,7.4462890625,19778,"(293, 479)",293,479
0008c5398-4.jpg,40.885,1.725,10.205078125,23557,"(291, 479)",291,479
0008c5398-5.jpg,0.0,0.0,8.1298828125,20335,"(264, 480)",264,480
0008c5398-6.jpg,51.23,0.0,8.837890625,34607,"(360, 480)",360,480
000a290e4-1.jpg,0.0,0.0,2.5146484375,40076,"(360, 480)",360,480
000a290e4-2.jpg,0.0,0.0,3.41796875,40078,"(360, 480)",360,480
000fb9572-1.jpg,33.745,0.0,8.6181640625,17985,"(400, 268)",400,268
000fb9572-2.jpg,31.155,0.0,6.4697265625,23895,"(400, 268)",400,268
000fb9572-3.jpg,9.715,42.165,8.251953125,17145,"(400, 300)",400,300
000fb9572-4.jpg,0.0,7.5,6.0302734375,16430,"(400, 300)",400,300
000fb9572-5.jpg,0.0,22.045,5.0537109375,18155,"(400, 300)",400,300
000fb9572-6.jpg,0.0,41.665,5.9814453125,19313,"(400, 300)",400,300
0011d7c25-1.jpg,81.06,0.0,6.1767578125,22383,"(299, 400)",299,400
0011d7c25-2.jpg,0.0,8.93,9.375,20979,"(299, 400)",299,400
0011d7c25-3.jpg,12.72,0.0,7.470703125,13636,"(400, 300)",400,300
00156db4a-1.jpg,3.42,0.0,8.544921875,13293,"(400, 267)",400,267
00156db4a-2.jpg,12.31,0.0,8.349609375,34648,"(267, 400)",267,400
00156db4a-3.jpg,3.775,0.0,5.7373046875,35200,"(267, 400)",267,400
00156db4a-4.jpg,6.96,0.0,6.2744140625,36484,"(267, 400)",267,400
00156db4a-5.jpg,14.285,0.0,4.6142578125,30788,"(400, 267)",400,267
001a1aaad-1.jpg,41.325,0.0,6.8359375,77766,"(640, 480)",640,480
001a1aaad-2.jpg,0.0,0.0,5.2734375,70865,"(640, 480)",640,480
001a1aaad-3.jpg,18.36,3.39,8.349609375,24152,"(360, 480)",360,480
001a1aaad-4.jpg,0.0,20.52,7.3974609375,62301,"(640, 480)",640,480
001b1507c-1.jpg,0.0,0.0,8.7646484375,17247,"(300, 400)",300,400
001b1507c-2.jpg,0.0,0.0,10.3759765625,16769,"(300, 400)",300,400
001b1507c-3.jpg,0.0,11.905,7.421875,14868,"(400, 300)",400,300
001b1507c-4.jpg,0.0,0.0,8.7158203125,17911,"(400, 300)",400,300
001b1507c-5.jpg,0.0,1.485,9.814453125,17520,"(400, 300)",400,300
001b1507c-6.jpg,1.505,0.0,6.591796875,13223,"(400, 300)",400,300
002230dea-1.jpg,33.39,0.0,11.5478515625,37269,"(400, 400)",400,400
002230dea-2.jpg,0.0,0.0,8.154296875,29478,"(400, 400)",400,400
002230dea-3.jpg,0.0,0.0,4.4189453125,25864,"(400, 400)",400,400
002230dea-4.jpg,0.0,0.0,6.0546875,6106,"(127, 225)",127,225
002278114-1.jpg,0.0,0.0,7.568359375,35393,"(360, 480)",360,480
002278114-10.jpg,0.0,0.0,5.37109375,24555,"(360, 480)",360,480
002278114-11.jpg,0.0,0.0,8.2275390625,21559,"(360, 480)",360,480
002278114-12.jpg,12.825,0.0,8.3251953125,63758,"(640, 480)",640,480
002278114-13.jpg,3.845,0.0,6.6162109375,60054,"(640, 480)",640,480
002278114-2.jpg,11.435,0.0,5.9326171875,30600,"(360, 480)",360,480
002278114-3.jpg,0.0,0.0,8.5205078125,23335,"(360, 480)",360,480
002278114-4.jpg,0.0,0.0,6.0302734375,26156,"(360, 480)",360,480
002278114-5.jpg,0.0,17.795,8.49609375,50565,"(640, 480)",640,480
002278114-6.jpg,0.0,0.0,5.5419921875,31473,"(640, 512)",640,512
002278114-7.jpg,8.8,0.0,6.884765625,23905,"(360, 480)",360,480
002278114-8.jpg,6.575,0.0,6.25,25619,"(360, 480)",360,480
002278114-9.jpg,3.31,0.0,6.4208984375,26470,"(360, 480)",360,480
0025a8313-1.jpg,2.0,0.0,7.03125,18875,"(400, 266)",400,266
0025a8313-2.jpg,9.165,0.0,9.8876953125,22101,"(400, 266)",400,266
0038234c6-1.jpg,20.555,2.22,6.6650390625,20048,"(360, 480)",360,480
0038234c6-2.jpg,22.535,0.0,6.0302734375,16162,"(360, 480)",360,480
0038234c6-3.jpg,0.0,0.0,5.517578125,27248,"(640, 480)",640,480
0038c9343-1.jpg,0.0,0.0,5.0048828125,18105,"(400, 300)",400,300
0038c9343-2.jpg,0.0,0.0,3.0029296875,9139,"(400, 300)",400,300
0038c9343-3.jpg,0.0,0.0,6.0546875,16950,"(400, 300)",400,300
0038c9343-4.jpg,0.0,34.765,10.6201171875,18487,"(400, 300)",400,300
0038c9343-5.jpg,0.0,2.78,8.837890625,17005,"(400, 300)",400,300
003dd2e26-1.jpg,0.0,0.0,4.150390625,31321,"(400, 286)",400,286
003dd2e26-2.jpg,19.645,0.0,4.0283203125,37215,"(400, 300)",400,300
003dd2e26-3.jpg,0.0,0.0,4.1259765625,22543,"(225, 300)",225,300
0045ed62a-1.jpg,0.0,42.12,9.3505859375,16060,"(400, 300)",400,300
0045ed62a-2.jpg,5.745,12.645,7.4951171875,18577,"(300, 400)",300,400
0045ed62a-3.jpg,0.0,42.12,9.3505859375,16060,"(400, 300)",400,300
004709939-1.jpg,0.0,84.265,8.837890625,24446,"(400, 300)",400,300
004709939-2.jpg,0.0,72.715,7.6416015625,19619,"(400, 300)",400,300
004709939-3.jpg,0.0,5.77,8.1298828125,22500,"(400, 300)",400,300
004a26127-1.jpg,0.0,0.0,6.25,12436,"(400, 267)",400,267
004a26127-2.jpg,0.0,0.0,6.298828125,31277,"(400, 267)",400,267
004c2f355-1.jpg,0.0,0.0,8.7646484375,16935,"(400, 300)",400,300
004c2f355-2.jpg,0.0,0.0,4.4189453125,10152,"(300, 400)",300,400
0052dcf47-1.jpg,0.0,9.94,9.5458984375,20608,"(296, 394)",296,394
0052dcf47-2.jpg,0.0,13.815,6.73828125,19837,"(270, 480)",270,480
0052dcf47-3.jpg,50.0,0.0,5.517578125,15002,"(270, 480)",270,480
00553ae55-1.jpg,32.965,8.245,8.4228515625,16697,"(300, 400)",300,400
00553ae55-2.jpg,2.295,90.425,5.5419921875,13822,"(400, 300)",400,300
00553ae55-3.jpg,0.24,97.025,6.0546875,13745,"(400, 300)",400,300
00553ae55-4.jpg,46.295,2.78,9.716796875,20979,"(300, 400)",300,400
00553ae55-5.jpg,73.64500000000001,0.0,5.419921875,11789,"(300, 400)",300,400
0058586f1-1.jpg,3.225,0.0,5.6884765625,24142,"(270, 480)",270,480
0058586f1-2.jpg,0.0,0.0,6.9091796875,13389,"(320, 320)",320,320
0058586f1-3.jpg,0.0,0.0,7.421875,43003,"(640, 480)",640,480
005afe792-1.jpg,0.0,0.0,5.712890625,3058,"(120, 160)",120,160
005afe792-10.jpg,0.0,0.0,4.7119140625,2896,"(120, 160)",120,160
005afe792-11.jpg,4.14,0.0,4.7119140625,4329,"(120, 160)",120,160
005afe792-2.jpg,0.0,36.94,7.9345703125,12208,"(300, 400)",300,400
005afe792-3.jpg,0.0,0.0,4.8828125,3611,"(120, 160)",120,160
005afe792-4.jpg,0.0,0.0,1.806640625,2212,"(120, 160)",120,160
005afe792-5.jpg,0.0,0.0,5.6884765625,2967,"(160, 120)",160,120
005afe792-6.jpg,0.0,0.0,5.419921875,3125,"(120, 160)",120,160
005afe792-7.jpg,0.0,0.0,5.078125,3253,"(120, 160)",120,160
005afe792-8.jpg,8.190000000000001,0.0,10.0341796875,4120,"(160, 120)",160,120
005afe792-9.jpg,7.62,0.0,6.25,4863,"(160, 120)",160,120
005bb92d8-1.jpg,0.0,0.0,7.91015625,50141,"(382, 480)",382,480
0063bd7e0-1.jpg,0.0,0.0,6.3232421875,19201,"(269, 480)",269,480
0063bd7e0-2.jpg,0.0,0.0,7.8857421875,28975,"(359, 480)",359,480
0063f83c9-1.jpg,0.0,0.0,4.7607421875,17955,"(400, 300)",400,300
0063f83c9-2.jpg,0.0,0.0,5.2490234375,16509,"(400, 300)",400,300
0063f83c9-3.jpg,40.14,2.54,3.6865234375,11303,"(300, 400)",300,400
0063f83c9-4.jpg,0.0,0.0,5.3955078125,14144,"(300, 400)",300,400
00648f96f-1.jpg,0.0,0.0,4.8095703125,23967,"(400, 300)",400,300
00648f96f-2.jpg,0.0,7.445,8.544921875,27994,"(400, 399)",400,399
006610fe3-1.jpg,0.0,0.0,4.98046875,27534,"(400, 300)",400,300
006d301e9-1.jpg,0.0,0.0,4.2236328125,16038,"(400, 300)",400,300
006d301e9-2.jpg,0.0,0.0,6.34765625,20687,"(400, 300)",400,300
006d301e9-3.jpg,0.0,8.785,8.8623046875,25962,"(300, 400)",300,400
006d301e9-4.jpg,6.045,47.78,9.3994140625,17750,"(300, 400)",300,400
006ffebaf-1.jpg,0.0,0.0,7.03125,30458,"(640, 427)",640,427
006ffebaf-2.jpg,1.9,0.0,10.4736328125,44730,"(640, 427)",640,427
006ffebaf-3.jpg,0.0,49.525,8.0810546875,44764,"(640, 427)",640,427
006ffebaf-4.jpg,0.0,0.0,8.837890625,26247,"(320, 480)",320,480
006ffebaf-5.jpg,0.0,0.0,10.986328125,43661,"(640, 427)",640,427
