,PetID,pic_no,img_bound_polygon_x,img_bound_polygon_y,img_confidence,img_imp_fract,domcol_r,domcol_g,domcol_b,AdoptionSpeed
0,86e1089a3,1,359.0,479.0,0.79999995,1.0,25.0,20.0,21.0,2
1,6296e909a,1,398.0,376.0,0.79999995,1.0,19.0,24.0,17.0,0
1,6296e909a,2,299.0,399.0,0.79999995,1.0,30.0,23.0,18.0,0
2,3422e4906,1,299.0,399.0,0.79999995,1.0,61.0,55.0,51.0,3
2,3422e4906,2,399.0,299.0,0.79999995,1.0,90.0,78.0,56.0,3
2,3422e4906,3,399.0,299.0,0.79999995,1.0,160.0,153.0,142.0,3
2,3422e4906,4,299.0,399.0,0.79999995,1.0,98.0,83.0,65.0,3
2,3422e4906,5,299.0,399.0,0.79999995,1.0,134.0,114.0,46.0,3
2,3422e4906,6,399.0,299.0,0.79999995,1.0,207.0,199.0,191.0,3
2,3422e4906,7,399.0,299.0,0.79999995,1.0,186.0,182.0,156.0,3
3,5842f1ff5,1,399.0,299.0,0.79999995,1.0,54.0,50.0,47.0,2
3,5842f1ff5,2,399.0,299.0,0.79999995,1.0,127.0,117.0,114.0,2
3,5842f1ff5,3,399.0,299.0,0.79999995,1.0,59.0,51.0,49.0,2
3,5842f1ff5,4,299.0,399.0,0.79999995,1.0,124.0,117.0,110.0,2
3,5842f1ff5,5,299.0,399.0,0.79999995,1.0,27.0,24.0,20.0,2
3,5842f1ff5,6,399.0,299.0,0.79999995,1.0,214.0,195.0,174.0,2
3,5842f1ff5,7,399.0,299.0,0.79999995,1.0,161.0,153.0,148.0,2
3,5842f1ff5,8,399.0,299.0,0.79999995,1.0,123.0,117.0,108.0,2
4,850a43f90,1,517.0,426.0,0.79999995,0.97999996,24.0,19.0,21.0,2
4,850a43f90,2,269.0,479.0,0.79999995,1.0,247.0,131.0,32.0,2
4,850a43f90,3,639.0,426.0,0.79999995,1.0,26.0,20.0,19.0,2
5,d24c30b4b,1,359.0,479.0,0.79999995,1.0,55.0,57.0,60.0,2
5,d24c30b4b,2,359.0,479.0,0.79999995,1.0,120.0,120.0,123.0,2
6,1caa6fcdb,1,399.0,299.0,0.79999995,1.0,128.0,107.0,55.0,1
6,1caa6fcdb,2,399.0,299.0,0.79999995,1.0,29.0,24.0,21.0,1
6,1caa6fcdb,3,399.0,299.0,0.79999995,1.0,30.0,29.0,28.0,1
7,97aa9eeac,1,299.0,399.0,0.79999995,1.0,27.0,28.0,20.0,3
7,97aa9eeac,2,399.0,299.0,0.79999995,1.0,85.0,84.0,65.0,3
7,97aa9eeac,3,399.0,299.0,0.79999995,1.0,174.0,188.0,182.0,3
7,97aa9eeac,4,399.0,299.0,0.79999995,1.0,54.0,53.0,32.0,3
7,97aa9eeac,5,299.0,399.0,0.79999995,1.0,27.0,26.0,17.0,3
7,97aa9eeac,6,299.0,399.0,0.79999995,1.0,49.0,52.0,41.0,3
7,97aa9eeac,7,299.0,399.0,0.79999995,1.0,187.0,192.0,189.0,3
7,97aa9eeac,8,299.0,399.0,0.79999995,1.0,223.0,235.0,238.0,3
7,97aa9eeac,9,399.0,299.0,0.79999995,1.0,109.0,119.0,109.0,3
8,c06d167ca,1,399.0,299.0,0.79999995,1.0,51.0,55.0,47.0,1
8,c06d167ca,2,399.0,299.0,0.79999995,1.0,150.0,157.0,158.0,1
8,c06d167ca,3,399.0,299.0,0.79999995,1.0,193.0,197.0,165.0,1
8,c06d167ca,4,399.0,299.0,0.79999995,1.0,131.0,121.0,100.0,1
8,c06d167ca,5,399.0,299.0,0.79999995,1.0,93.0,84.0,81.0,1
8,c06d167ca,6,399.0,299.0,0.79999995,1.0,136.0,115.0,86.0,1
9,7a0942d61,1,639.0,512.0,0.79999995,1.0,249.0,249.0,235.0,4
9,7a0942d61,2,258.0,479.0,0.79999995,0.97999996,49.0,45.0,41.0,4
10,8b693ca84,1,263.0,479.0,0.79999995,1.0,191.0,193.0,191.0,1
10,8b693ca84,2,263.0,479.0,0.79999995,1.0,109.0,111.0,110.0,1
10,8b693ca84,3,263.0,479.0,0.79999995,1.0,139.0,52.0,50.0,1
10,8b693ca84,4,351.0,479.0,0.79999995,1.0,192.0,188.0,182.0,1
10,8b693ca84,5,639.0,522.0,0.79999995,1.0,203.0,199.0,198.0,1
10,8b693ca84,6,263.0,479.0,0.79999995,1.0,137.0,115.0,91.0,1
10,8b693ca84,7,286.0,479.0,0.79999995,1.0,25.0,23.0,19.0,1
11,8e76c8e39,1,269.0,479.0,0.79999995,1.0,246.0,246.0,247.0,1
11,8e76c8e39,2,359.0,479.0,0.79999995,1.0,123.0,118.0,112.0,1
12,aaedd873d,1,299.0,399.0,0.79999995,1.0,108.0,28.0,31.0,2
13,4a9793dfb,1,639.0,474.0,0.79999995,1.0,48.0,51.0,52.0,1
14,c02be41e6,1,270.0,479.0,0.79999995,1.0,99.0,80.0,57.0,2
14,c02be41e6,2,270.0,479.0,0.79999995,1.0,134.0,119.0,95.0,2
15,1fd342e17,1,359.0,479.0,0.79999995,1.0,231.0,232.0,226.0,4
15,1fd342e17,2,358.0,479.0,0.79999995,1.0,103.0,83.0,64.0,4
16,b38a74866,1,299.0,399.0,0.79999995,1.0,161.0,155.0,125.0,3
17,f9d07d5fa,1,224.0,299.0,0.79999995,1.0,61.0,50.0,52.0,4
17,f9d07d5fa,2,224.0,299.0,0.79999995,1.0,124.0,118.0,91.0,4
18,1c92ce464,1,299.0,399.0,0.79999995,1.0,18.0,17.0,22.0,2
18,1c92ce464,2,299.0,399.0,0.79999995,1.0,23.0,23.0,29.0,2
18,1c92ce464,3,299.0,399.0,0.79999995,1.0,17.0,16.0,22.0,2
18,1c92ce464,4,399.0,299.0,0.79999995,1.0,53.0,52.0,62.0,2
18,1c92ce464,5,399.0,299.0,0.79999995,1.0,46.0,46.0,56.0,2
18,1c92ce464,6,299.0,399.0,0.79999995,1.0,54.0,54.0,62.0,2
18,1c92ce464,7,299.0,399.0,0.79999995,1.0,15.0,14.0,20.0,2
18,1c92ce464,8,299.0,399.0,0.79999995,1.0,18.0,18.0,24.0,2
19,b10e7605a,1,199.0,399.0,0.79999995,1.0,21.0,19.0,14.0,4
20,6436c1a59,1,399.0,299.0,0.79999995,1.0,117.0,78.0,57.0,2
20,6436c1a59,2,399.0,299.0,0.79999995,1.0,115.0,76.0,59.0,2
20,6436c1a59,3,399.0,299.0,0.79999995,1.0,98.0,84.0,77.0,2
20,6436c1a59,4,399.0,299.0,0.79999995,1.0,110.0,77.0,61.0,2
20,6436c1a59,5,399.0,299.0,0.79999995,1.0,114.0,75.0,55.0,2
20,6436c1a59,6,399.0,299.0,0.79999995,1.0,82.0,50.0,36.0,2
20,6436c1a59,7,399.0,299.0,0.79999995,1.0,101.0,81.0,67.0,2
21,234a5a54c,1,399.0,299.0,0.79999995,1.0,152.0,109.0,91.0,4
21,234a5a54c,2,399.0,299.0,0.79999995,1.0,84.0,40.0,28.0,4
21,234a5a54c,3,399.0,299.0,0.79999995,1.0,153.0,108.0,88.0,4
21,234a5a54c,4,224.0,299.0,0.79999995,1.0,57.0,51.0,55.0,4
21,234a5a54c,5,399.0,299.0,0.79999995,1.0,20.0,13.0,15.0,4
22,1bc0f89d8,,,,,,,,,4
23,1bf24d8be,,,,,,,,,4
24,988988d5b,1,321.0,399.0,0.79999995,1.0,80.0,48.0,35.0,1
24,988988d5b,2,399.0,299.0,0.79999995,1.0,171.0,169.0,169.0,1
24,988988d5b,3,399.0,299.0,0.79999995,1.0,159.0,163.0,174.0,1
24,988988d5b,4,399.0,299.0,0.79999995,0.98999995,195.0,200.0,205.0,1
24,988988d5b,5,399.0,299.0,0.79999995,1.0,77.0,36.0,42.0,1
24,988988d5b,6,299.0,399.0,0.79999995,1.0,20.0,20.0,25.0,1
24,988988d5b,7,399.0,299.0,0.79999995,1.0,183.0,188.0,199.0,1
24,988988d5b,8,399.0,299.0,0.79999995,1.0,97.0,87.0,79.0,1
24,988988d5b,9,399.0,299.0,0.79999995,1.0,189.0,199.0,203.0,1
25,cf7d3eec0,1,299.0,399.0,0.79999995,1.0,177.0,157.0,89.0,2
25,cf7d3eec0,2,299.0,399.0,0.79999995,1.0,170.0,153.0,95.0,2
25,cf7d3eec0,3,299.0,399.0,0.79999995,1.0,141.0,116.0,55.0,2
26,85fc3c314,1,399.0,266.0,0.79999995,1.0,151.0,119.0,74.0,1
26,85fc3c314,2,399.0,266.0,0.79999995,1.0,214.0,191.0,160.0,1
26,85fc3c314,3,399.0,266.0,0.79999995,1.0,215.0,188.0,166.0,1
26,85fc3c314,4,399.0,266.0,0.79999995,1.0,208.0,189.0,160.0,1
26,85fc3c314,5,399.0,266.0,0.79999995,1.0,148.0,124.0,82.0,1
26,85fc3c314,6,399.0,266.0,0.79999995,1.0,169.0,155.0,129.0,1
26,85fc3c314,7,399.0,266.0,0.79999995,1.0,187.0,155.0,120.0,1
26,85fc3c314,8,399.0,266.0,0.79999995,1.0,151.0,120.0,74.0,1
26,85fc3c314,9,399.0,266.0,0.79999995,1.0,158.0,111.0,67.0,1
27,efbf1703a,1,359.0,479.0,0.79999995,1.0,60.0,52.0,47.0,2
27,efbf1703a,2,359.0,479.0,0.79999995,1.0,129.0,119.0,110.0,2
28,7843a9dca,,,,,,,,,3
29,d341fbfd6,1,399.0,399.0,0.79999995,1.0,74.0,126.0,186.0,2
30,1a76190c5,1,299.0,399.0,0.79999995,1.0,172.0,153.0,129.0,3
30,1a76190c5,2,299.0,399.0,0.79999995,1.0,124.0,118.0,108.0,3
30,1a76190c5,3,399.0,299.0,0.79999995,1.0,94.0,77.0,55.0,3
30,1a76190c5,4,299.0,399.0,1.0,1.0,125.0,120.0,112.0,3
30,1a76190c5,5,399.0,299.0,0.79999995,1.0,120.0,81.0,42.0,3
31,edb920079,1,399.0,265.0,0.79999995,1.0,55.0,49.0,48.0,1
32,543130f60,1,479.0,479.0,0.79999995,1.0,192.0,143.0,90.0,4
33,9415bc79e,1,359.0,479.0,0.79999995,1.0,70.0,42.0,23.0,3
33,9415bc79e,2,639.0,441.0,0.79999995,1.0,71.0,38.0,23.0,3
33,9415bc79e,3,639.0,479.0,0.79999995,1.0,18.0,16.0,16.0,3
33,9415bc79e,4,639.0,479.0,0.79999995,1.0,19.0,15.0,14.0,3
33,9415bc79e,5,639.0,479.0,0.79999995,1.0,108.0,122.0,128.0,3
33,9415bc79e,6,639.0,479.0,0.79999995,1.0,109.0,119.0,124.0,3
33,9415bc79e,7,639.0,359.0,0.79999995,1.0,10.0,10.0,16.0,3
34,4c6fe4100,1,399.0,299.0,0.79999995,1.0,25.0,23.0,23.0,4
34,4c6fe4100,2,399.0,299.0,0.79999995,1.0,116.0,81.0,70.0,4
34,4c6fe4100,3,399.0,299.0,1.0,1.0,23.0,24.0,27.0,4
34,4c6fe4100,4,399.0,299.0,0.79999995,1.0,122.0,121.0,121.0,4
34,4c6fe4100,5,339.0,299.0,0.79999995,0.97999996,17.0,15.0,16.0,4
35,0737e4f11,1,399.0,272.0,0.79999995,1.0,116.0,115.0,106.0,1
35,0737e4f11,2,399.0,363.0,0.79999995,1.0,89.0,83.0,56.0,1
35,0737e4f11,3,399.0,272.0,0.79999995,1.0,126.0,121.0,93.0,1
35,0737e4f11,4,395.0,399.0,0.79999995,1.0,92.0,87.0,61.0,1
35,0737e4f11,5,399.0,395.0,0.79999995,1.0,93.0,88.0,61.0,1
36,61fa73996,1,359.0,479.0,0.79999995,1.0,90.0,84.0,83.0,4
36,61fa73996,2,359.0,479.0,0.79999995,1.0,207.0,200.0,189.0,4
37,eabb13cea,1,399.0,299.0,0.79999995,1.0,123.0,113.0,109.0,1
37,eabb13cea,2,299.0,399.0,0.79999995,1.0,140.0,110.0,99.0,1
37,eabb13cea,3,299.0,399.0,0.79999995,1.0,16.0,21.0,41.0,1
38,deff069a2,1,298.0,399.0,0.79999995,1.0,81.0,130.0,62.0,1
38,deff069a2,2,299.0,399.0,0.79999995,1.0,148.0,205.0,194.0,1
38,deff069a2,3,399.0,299.0,0.79999995,1.0,56.0,53.0,57.0,1
38,deff069a2,4,399.0,299.0,0.79999995,1.0,24.0,22.0,27.0,1
39,4e3640544,1,126.0,224.0,0.79999995,1.0,210.0,198.0,171.0,3
40,ace21b6b1,1,639.0,426.0,0.79999995,1.0,216.0,189.0,171.0,3
40,ace21b6b1,2,639.0,477.0,0.79999995,1.0,168.0,155.0,132.0,3
40,ace21b6b1,3,639.0,477.0,0.79999995,1.0,166.0,152.0,134.0,3
40,ace21b6b1,4,639.0,477.0,0.79999995,1.0,92.0,82.0,74.0,3
40,ace21b6b1,5,639.0,477.0,0.79999995,1.0,194.0,193.0,171.0,3
40,ace21b6b1,6,639.0,426.0,0.79999995,1.0,145.0,106.0,93.0,3
40,ace21b6b1,7,639.0,426.0,0.59999996,1.1999999,153.0,29.0,27.0,3
40,ace21b6b1,8,639.0,426.0,0.79999995,1.0,152.0,109.0,94.0,3
40,ace21b6b1,9,639.0,426.0,0.79999995,1.0,156.0,150.0,147.0,3
41,8ee223a17,1,639.0,639.0,0.79999995,1.0,55.0,50.0,51.0,2
42,9a38d4275,1,399.0,266.0,0.79999995,1.0,198.0,199.0,197.0,1
43,671ffc570,1,308.0,399.0,0.79999995,1.0,226.0,225.0,235.0,3
43,671ffc570,2,399.0,299.0,0.79999995,1.0,196.0,196.0,201.0,3
43,671ffc570,3,282.0,399.0,0.79999995,1.0,224.0,224.0,232.0,3
