,PetID,doc_mag_corr,doc_score,sent_count,sen1_magnitude,sen1_score,dom_color,AdoptionSpeed,has_eng_description
0,86e1089a3,0.39999999999999997,0.3,6.0,0.8,0.8,"{'red': 25, 'green': 20, 'blue': 21}",2,1
1,6296e909a,0.35,-0.2,2.0,0.1,0.1,"{'red': 19, 'green': 24, 'blue': 17}",0,1
2,3422e4906,0.5285714285714286,0.2,7.0,0.9,-0.9,"{'red': 61, 'green': 55, 'blue': 51}",3,1
3,5842f1ff5,0.9,0.9,1.0,0.9,0.9,"{'red': 54, 'green': 50, 'blue': 47}",2,1
4,850a43f90,0.6166666666666667,0.6,6.0,0.7,0.7,"{'red': 24, 'green': 19, 'blue': 21}",2,1
5,d24c30b4b,0.1,0.0,2.0,0.0,0.0,"{'red': 55, 'green': 57, 'blue': 60}",2,1
6,1caa6fcdb,0.25,0.2,2.0,0.5,0.5,"{'red': 128, 'green': 107, 'blue': 55}",1,1
7,97aa9eeac,0.3,0.1,3.0,0.0,0.0,"{'red': 27, 'green': 28, 'blue': 20}",3,1
8,c06d167ca,0.25,0.1,2.0,0.3,0.3,"{'red': 51, 'green': 55, 'blue': 47}",1,1
9,7a0942d61,0.3666666666666667,0.2,3.0,0.4,0.4,"{'red': 249, 'green': 249, 'blue': 235}",4,1
10,8b693ca84,0.8,0.8,1.0,0.8,0.8,"{'red': 191, 'green': 193, 'blue': 191}",1,1
11,8e76c8e39,0.44000000000000006,0.3,10.0,0.7,0.7,"{'red': 246, 'green': 246, 'blue': 247}",1,1
12,aaedd873d,0.48333333333333334,0.4,6.0,0.2,-0.2,"{'red': 108, 'green': 28, 'blue': 31}",2,1
13,4a9793dfb,0.43333333333333335,0.4,6.0,0.6,0.6,"{'red': 48, 'green': 51, 'blue': 52}",1,1
14,c02be41e6,0.33999999999999997,0.1,10.0,0.6,-0.6,"{'red': 99, 'green': 80, 'blue': 57}",2,1
15,1fd342e17,0.6,0.6,3.0,0.8,0.8,"{'red': 231, 'green': 232, 'blue': 226}",4,1
16,b38a74866,0.9,0.9,1.0,0.9,0.9,"{'red': 161, 'green': 155, 'blue': 125}",3,1
17,f9d07d5fa,0.3333333333333333,0.3,3.0,0.1,0.1,"{'red': 61, 'green': 50, 'blue': 52}",4,1
18,1c92ce464,0.45,0.1,4.0,0.5,-0.5,"{'red': 18, 'green': 17, 'blue': 22}",2,1
19,b10e7605a,,,,,,"{'red': 21, 'green': 19, 'blue': 14}",4,0
20,6436c1a59,0.3666666666666667,0.3,6.0,0.0,0.0,"{'red': 117, 'green': 78, 'blue': 57}",2,1
21,234a5a54c,0.6,0.6,1.0,0.6,0.6,"{'red': 152, 'green': 109, 'blue': 91}",4,1
22,1bc0f89d8,0.55,0.5,2.0,0.6,0.6,,4,1
23,1bf24d8be,0.4857142857142857,0.2,7.0,0.8,0.8,,4,1
24,988988d5b,0.8,0.8,1.0,0.8,0.8,"{'red': 80, 'green': 48, 'blue': 35}",1,1
25,cf7d3eec0,0.31,0.2,10.0,0.0,0.0,"{'red': 177, 'green': 157, 'blue': 89}",2,1
26,85fc3c314,0.8,0.8,1.0,0.8,0.8,"{'red': 151, 'green': 119, 'blue': 74}",1,1
27,efbf1703a,0.0,0.0,1.0,0.0,0.0,"{'red': 60, 'green': 52, 'blue': 47}",2,1
28,7843a9dca,0.3,0.3,2.0,0.5,0.5,,3,1
29,d341fbfd6,0.21666666666666667,0.2,6.0,0.0,0.0,"{'red': 74, 'green': 126, 'blue': 186}",2,1
30,1a76190c5,0.475,0.3,4.0,0.7,0.7,"{'red': 172, 'green': 153, 'blue': 129}",3,1
31,edb920079,,,,,,"{'red': 55, 'green': 49, 'blue': 48}",1,0
32,543130f60,0.74,0.4,5.0,0.3,0.3,"{'red': 192, 'green': 143, 'blue': 90}",4,1
33,9415bc79e,0.62,0.6,5.0,0.8,0.8,"{'red': 70, 'green': 42, 'blue': 23}",3,1
34,4c6fe4100,0.0,0.0,1.0,0.0,0.0,"{'red': 25, 'green': 23, 'blue': 23}",4,1
35,0737e4f11,0.0,0.0,1.0,0.0,0.0,"{'red': 116, 'green': 115, 'blue': 106}",1,1
36,61fa73996,0.05,0.0,2.0,0.0,0.0,"{'red': 90, 'green': 84, 'blue': 83}",4,1
37,eabb13cea,,,,,,"{'red': 123, 'green': 113, 'blue': 109}",1,0
38,deff069a2,0.5,0.4,6.0,0.3,0.3,"{'red': 81, 'green': 130, 'blue': 62}",1,1
39,4e3640544,0.9,0.9,1.0,0.9,0.9,"{'red': 210, 'green': 198, 'blue': 171}",3,1
40,ace21b6b1,0.30833333333333335,0.0,12.0,0.0,0.0,"{'red': 216, 'green': 189, 'blue': 171}",3,1
41,8ee223a17,0.8,0.8,1.0,0.8,0.8,"{'red': 55, 'green': 50, 'blue': 51}",2,1
42,9a38d4275,0.52,0.1,5.0,0.0,0.0,"{'red': 198, 'green': 199, 'blue': 197}",1,1
43,671ffc570,0.5666666666666667,0.5,3.0,0.0,0.0,"{'red': 226, 'green': 225, 'blue': 235}",3,1
44,aece6e7bf,0.9,0.9,1.0,0.9,0.9,"{'red': 117, 'green': 117, 'blue': 111}",4,1
45,c1e816568,0.16,0.1,5.0,0.0,0.0,"{'red': 89, 'green': 83, 'blue': 77}",4,1
46,22f6c0ac6,0.3111111111111111,0.3,9.0,0.0,0.0,"{'red': 129, 'green': 122, 'blue': 116}",3,1
47,ea159d8da,0.55,0.4,4.0,0.9,0.9,"{'red': 72, 'green': 46, 'blue': 43}",4,1
48,af1035c81,0.375,0.3,4.0,0.7,0.7,"{'red': 63, 'green': 46, 'blue': 30}",3,1
49,0d25f084f,0.3125,0.1,8.0,0.3,0.3,"{'red': 229, 'green': 221, 'blue': 214}",2,1
50,6fecc5cf7,0.16,0.1,5.0,0.5,0.5,"{'red': 15, 'green': 16, 'blue': 18}",3,1
